address,name,online_order,book_table,rate,votes,phone,location,rest_type,cuisines,approx_cost(for two people),menu_item,listed_in(type),listed_in(city)
"642, 14th Main, Kumaraswamy Layout, Bangalore",The Spice Saga,Yes,No,3.7/5,124,+91 7397773606,Kumaraswamy Layout,Casual Dining,"Biryani, North Indian, Chinese, Seafood",750,"['Appam', 'Noodles', 'Aloo Paratha', 'Chicken Biryani', 'Butter Chicken']",Delivery,Banashankari
"1061, Gowrisutha, 50 Feet Rd, 1st Stage, Kumaraswamy Layout, Bangalore",Dakshin Cafe,Yes,No,3.7/5,19,+91 9916806236,Kumaraswamy Layout,Quick Bites,South Indian,100,"['Ghee Roast Paneer', 'Pasta', 'Brain Fry', 'Chips', 'Chicken Curry']",Delivery,Banashankari
"615/1, Janardhan Mansion, 10th C Main Road, 32nd D Road, 4th block, Jayanagar, Bangalore",Mr. Parathewala,Yes,No,,0,+91 8884135349,Jayanagar,"Takeaway, Delivery",North Indian,300,"['Dal Makhani', 'Malai Kofta', 'Rice', 'Lassi', 'Paneer Biryani']",Delivery,Banashankari
"201, 4th Main Road, Next to National Lassi Bar, Chamrajapet, Basavanagudi, Bangalore",Kaulige Millet Corner,Yes,No,3.3/5,4,+91 9845490382,Basavanagudi,Quick Bites,"Healthy Food, South Indian",150,"['Salad', 'Chicken Biryani', 'Tandoori Fish', 'Fish', 'Noodles']",Delivery,Banashankari
"1771, 14th Main, 1st Stage, Kumaraswamy Layout, Bangalore",Ifruit Ice Cream,Yes,No,3.3/5,4,+91 8095181740,Kumaraswamy Layout,Dessert Parlor,"Desserts, Ice Cream",150,"['Waffles', 'Brownie', 'Madagascar Chocolate', 'Cajun Fries', 'Cup Cake']",Delivery,Banashankari
"75, Kanakapura Road, Vasavi Circle, V.V Puram, Basavanagudi, Bangalore",Havmor,Yes,No,3.8/5,21,+91 9591082665,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts",200,"['Prawn', 'Cake Jar', 'Brown Bomb', 'Paan Ice Cream', 'Icecream Cake']",Delivery,Banashankari
"6/1, Anjaneya Nagar, 100ft Ring Road, Banashankari 3rd Stage, Banashankari, Bangalore",Grand Food,Yes,No,3.4/5,8,"+91 9980340788
+91 9449327226",Banashankari,"Quick Bites, Bakery","South Indian, Bakery, Chinese",250,"['Apple Pie', 'Chocolate Cake', 'Biryani', 'Kadhai Paneer', 'Pasta']",Delivery,Banashankari
"1080, Near Niligiris, Kumaraswamy Layout, Bangalore",Dining Hut,Yes,No,3.5/5,10,+91 8660059043,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, South Indian",400,"['Dal Makhani', 'Idli', 'Filter Coffee', 'Masala Idli', 'Curd Rice']",Delivery,Banashankari
"1296 1st Block, 6th Stage, South Circle Banashankari, Bangalore",7 Hills Garden Restaurant,Yes,No,,0,+91 9886457657,Banashankari,Quick Bites,"North Indian, Mughlai, Chinese",400,"['Smoothie Bowl', 'Fish', 'Lemon Chicken', 'Rolls', 'Vegetable Biryani']",Delivery,Banashankari
"1554, 11th Cross, 1st Stage, Kumarswamy Layout, Near Sagar Hospital, Kumaraswamy Layout, Bangalore",Desi Swaad,Yes,No,3.5/5,10,"+91 8548849073
+91 9900128173",Kumaraswamy Layout,Quick Bites,North Indian,400,"['Prompt Service', 'Lassi', 'Lemon Basil Chicken', 'Butter Naan', 'Palak Paneer']",Delivery,Banashankari
"Sri Ganesh Fast Food. Opposite Goli ,Dayanand Sagar College Road, Kumaraswamy Layout, Bangalore",Yummy Momos,Yes,No,3.2/5,4,"+91 9535471685
+91 7022151183",Kumaraswamy Layout,Quick Bites,"Momos, Tibetan, Chinese",200,"['Chicken Grill', 'Chilli Mushroom', 'Momos', 'Chicken Thupka', 'Veg Momos']",Delivery,Banashankari
"Fresh Menu, Stavyah Arcade #10, 3rd floor 9th Main, Opp to Daily Bread, Yarab Nagar Main Rd, Banashankari Stage II, Bengaluru- 560070.",Masale Daan,Yes,No,3.1/5,4,+91 7975688235,Banashankari,Delivery,North Indian,350,"['Raita', 'Paneer Makhani', 'Rabri', 'Noodles', 'Jalebi']",Delivery,Banashankari
"3rd Main Rd, Arehalli, Hosakerehalli, Uttarahalli, Bangalore",Sri Manjunatha Tandoori Corner,Yes,No,,0,+91 8971611570,Uttarahalli,Quick Bites,Mughlai,300,"['Tandoori Chicken', 'Basmati Rice', 'Kulfi', 'Custard', 'Phirni']",Delivery,Banashankari
"954, 2nd Floor, 24th Main, 2nd Phase, Opposite LIC Building, JP Nagar, Bangalore",Grow Fit,Yes,No,3.6/5,16,+91 7259662169,JP Nagar,"Takeaway, Delivery","Healthy Food, North Indian, Thai",500,"['Passion Fruit Juice', 'Lassi', 'Veg Kolhapuri', 'Spinach Curry', 'Mojito']",Delivery,Banashankari
"30, 1st Main Road, Havish Nilaya, Samruddhi Enclave, Kumaraswamy Layout, Bangalore",Cutcakes,Yes,No,,0,+91 9108239452,Kumaraswamy Layout,"Takeaway, Delivery",Bakery,300,"['Ginger Tea', 'Chocochip Cake', 'Pasta', 'Cappuccino', 'Cup Cake']",Delivery,Banashankari
"616/2, 31st Cross, 10th A Main Road, 4th Block, Jayanagar, Bangalore",Sandwich Hub,Yes,No,3.4/5,12,+91 9343264000,Jayanagar,Quick Bites,"Fast Food, Sandwich",300,"['Honey Chilli Potatoes', 'Burgers', 'Shawarma', 'Bun Nippat Cheese', 'Oreo Mcflurry']",Delivery,Banashankari
"734, Marenahalli Rd, 8th Block, Shakambari Nagar, 1st Phase, Jayanagar, Bangalore",Healthy Bakes 'n' Brew,Yes,No,,0,+91 9845285003,Jayanagar,Bakery,Bakery,150,"['Hot Chocolate', 'Egg Puff', 'Chocolate Chocochip', 'Chocolate Cake', 'French Fries']",Delivery,Banashankari
"24, 8th C Main, Behind Post Office, 4th Block, Jayanagar, Bangalore",Udupi Sri Krishna Cafe,Yes,No,3.9/5,14,080 22440505,Jayanagar,Casual Dining,"North Indian, South Indian",600,"['Vada', 'Pizza', 'Salads', 'Tandoori Chicken', 'Benne Dosa']",Delivery,Banashankari
"25/4, 7th Block K.R Road, 8TH Cross Opposite, HDFC Bank, Jayanagar, Bangalore",Starlite Bakery & Fastfood,Yes,No,3.7/5,0,080 49653268,Jayanagar,Quick Bites,"North Indian, Chinese, Rolls, Bakery, Arabian, Charcoal Chicken, Desserts",300,"['Salted Caramel', 'Crispy Corn', 'Brinjal Curry', 'Chocolate Cupcake', 'Biryani']",Delivery,Banashankari
"2, Medical College East Main Road, Kalasipalyam, Behind Bangalore Medical College, City Market, Bangalore",Veganbreak24x7,Yes,No,2.8/5,5,+91 9739008132,City Market,"Takeaway, Delivery","South Indian, Chinese, Continental, Biryani",199,"['Vada', 'Chaat', 'Gulab Jamun', 'Coffee', 'Bengali Style Biryani']",Delivery,Banashankari
"215, 2nd Main, Thygarajanagar, Basavanagudi, Bangalore",Aadhya Hotel,Yes,No,3.3/5,5,+91 9741115446,Basavanagudi,"Casual Dining, Bar","South Indian, North Indian, Chinese, Biryani",800,"['Lime Soda', 'Badam Milk', 'Paneer Biryani', 'Biryani', 'Masala Dosa']",Delivery,Banashankari
"3313, Vishwabharati Layout, 80 Feet Road, Girinagar, 4th Phase, Stage 3, Banashankari, Bangalore",Dodda Mane Baaduta,Yes,No,3.5/5,15,+91 8618270597,Banashankari,Quick Bites,"North Indian, South Indian, Chinese, Biryani",250,"['Donne Biryani', 'Murgh Makhani', 'Neer Dosa', 'Masala Dosa', 'Buttermilk']",Delivery,Banashankari
"32/2, DVG Road, Basavanagudi, Karnataka, Bangalore",Swadd Kitchen,Yes,No,3.4/5,4,"+91 8042140454
+91 9080869067",Basavanagudi,Casual Dining,"North Indian, Fast Food",500,"['Chicken Tikka Roll', 'Salads', 'Popcorn Chicken', 'Butter Chicken', 'Aloo Paratha']",Delivery,Banashankari
"236, 18th cross, 2nd Main Road, Bapujinagar, Mysore Road, Bangalore",Nandini Milk Parlour and Restaurant,Yes,No,,0,+91 9901716334,Mysore Road,"Dessert Parlor, Quick Bites","Sandwich, Rolls, South Indian, Ice Cream",250,"['Filter Coffee', 'Vada', 'Double Chocolate Cookie', 'Rolls', 'Fries']",Delivery,Banashankari
"3/1, Bugle Rock Road, Gandhi Bazaar, Basavanagudi",Happy Chopsticks,Yes,No,3.6/5,17,+91 6361205115,Basavanagudi,Quick Bites,"Chinese, Fast Food",300,"['Rolls', 'Peri Peri Fries', 'Tea', 'Momos', 'French Fries']",Delivery,Banashankari
"99, 3rd Main Road, Hanumanthnagar, Banashankari, Bangalore",Sai Super Sandwich,Yes,No,NEW,0,"+91 9535736455
+91 9880156554",Banashankari,Quick Bites,"Sandwich, Beverages",200,"['Pizza', 'Sandwiches', 'Thali', 'Sandwich', 'Ginger Tea']",Delivery,Banashankari
"Shop 9, East Anjanaiya Temple Street, Gandhi Bazar, Basavanagudi, Bangalore",Right Pizza,Yes,No,NEW,0,"+91 9980473473
+91 9845338098",Basavanagudi,Quick Bites,Pizza,300,"['Biryani', 'Fries', 'Manali Pizza', 'Prompt Service', 'Cocktails']",Delivery,Banashankari
"5 Zaina Towers, 9th Main Yarab Nagar Main Road Banashankari, Bangalore",Udupi Upachar,Yes,No,3.3/5,6,"+91 8026719977
+91 9448849536",Banashankari,Quick Bites,"South Indian, North Indian",500,"['Chicken Curry', 'Rooftop Ambience', 'Raita', 'Gulab Jamun', 'Masala Peanuts']",Delivery,Banashankari
"Shop 97, 22nd Main Road, Near Banashankari BDA complex, Banashankari Stage II, Banashankari, Bangalore",Davanagere Benne Dose Hut,Yes,No,3.4/5,10,"+91 9632250213
+91 8951760439",Banashankari,Quick Bites,South Indian,100,"['Filter Coffee', 'Raagi Dosa', 'Thali', 'Kulcha', 'Biryani']",Delivery,Banashankari
"203 4th Main, 4th Cross, Chamrajpet, Basavanagudi, Bangalore",The Sip Shop,Yes,No,NEW,0,+91 7259105885,Basavanagudi,Quick Bites,"Pizza, Beverages, Ice Cream",200,"['Salad', 'Prawn Pizza', 'Mocha Waffle', 'Panipuri', 'Rolls']",Delivery,Banashankari
"Cosmopolitan Club, Ground Floor, 22nd Cross, 3rd Block, Jayanagar, Bengalore",Subz,Yes,Yes,4.2/5,2022,080 49652607,Jayanagar,Casual Dining,"North Indian, South Indian","1,000","['Vada', 'Filter Coffee Ice Cream', 'Butter Chicken', 'Fish Curry', 'Corn Soup']",Delivery,Banashankari
"12/3, Market Road, V.V.puram, Basavanagudi, Bangalore",Rajastani Rasoi,Yes,No,,0,+91 9448069548,Basavanagudi,Quick Bites,North Indian,100,"['Dal Makhani', 'Chicken Meal', 'Chicken Lollipop', 'Chicken Biryani', 'Coffee']",Delivery,Banashankari
"916, 1st Stage, 24th Cross Road, Kumaraswamy Layout, Bangalore",Sri Banashankari Upahara,Yes,No,NEW,0,+91 9845451417,Kumaraswamy Layout,Quick Bites,"North Indian, South Indian",150,"['Mutton Biryani', 'White Pasta', 'Raagi Dosa', 'Filter Coffee', 'Vada Pav']",Delivery,Banashankari
"172, Ground Floor, Near Jain College, VV Puram, Basavanagudi, Bangalore",Mint and Mustard,Yes,No,4.0/5,232,"+91 8296898737
+91 7003941601",Basavanagudi,Casual Dining,"North Indian, Chinese",750,"['Sattu Paratha', 'Bonda Soup', 'Spring Roll', 'Noodles', 'Fish']",Delivery,Banashankari
"169, Subbarama Chetty Rd, NR Colony, Basavanagudi, Bangalore",Chinese Square,Yes,No,3.9/5,38,+91 8884889088,Basavanagudi,Quick Bites,Chinese,200,"['Chole Bhature', 'Biryani', 'Bbq Pizza', 'Mocktails', 'Dragon Chicken']",Delivery,Banashankari
"4, 12th Cross, Kadarenahalli, 2nd Stage, Banashankari, Bangalore",Hyderabad Express,Yes,No,NEW,0,+91 8892597403,Banashankari,Quick Bites,"Hyderabadi, Biryani, South Indian, Andhra, Beverages",300,"['Mutton Curry', 'Bamboo Chicken', 'Beef Biryani', 'Vada', 'Chicken Biryani']",Delivery,Banashankari
"SM Towers, Near Cosmopolitan Club, 4/3/1 & 3/2, 1st Floor, 11th Main, Jayanagar, Bangalore",Punjabi Raswada,Yes,Yes,3.5/5,431,"+91 9740105551
080 49784222",Jayanagar,Casual Dining,North Indian,800,"['Panneer Butter Masala', 'Idli', 'Prompt Service', 'Chicken Biryani', 'Dal Makhani']",Delivery,Banashankari
"2467, 24th Cross, 2nd Stage, Banashankari, Bangalore",Vinny's,Yes,Yes,4.2/5,2115,080 26716795,Banashankari,Casual Dining,"Pizza, Italian, Continental, Desserts",800,"['Hot Chocolate', 'Momos', 'Pasta', 'Veggie Pizza', 'Tandoori Chicken']",Delivery,Banashankari
"126/3, Uttarahalli Main Road, Sarvabouma Nagar, Chikkalasandra, Uttarahalli, Bangalore",Chetty's Corner,Yes,No,3.4/5,30,,Uttarahalli,Quick Bites,"Fast Food, Burger, Pizza",200,"['Shawarma', 'Hot Chocolate', 'Cheesy Fries', 'Masala Chai', 'California Burrito']",Delivery,Banashankari
"Bengaluru, Jayanagar, Bangalore",Kapoor's Cafe,Yes,No,4.2/5,150,,Jayanagar,Casual Dining,North Indian,800,"['Dal Makhani', 'Egg Noodles', 'Devils Chicken', 'Seekh Kebab', 'Dahi Bhalle']",Delivery,Banashankari
"8, 1st Cross Road, Teachers Colony, Kumaraswamy Layout, Bangalore",Donne Biryani & Kabab Corner,Yes,No,3.3/5,12,+91 9743033337,Kumaraswamy Layout,Quick Bites,"Chinese, Biryani",200,"['Noodles', 'Momos', 'Chicken Biryani', 'Dragon Chicken', 'Beer']",Delivery,Banashankari
"30th Cross, 8th Main, Near Jain Temple, 4th Block, Jayanagar, Bangalore",Sukh Sagar,Yes,No,3.8/5,155,080 26634132,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Street Food",450,"['Gulab Jamun', 'Kadhai Paneer', 'Noodles', 'Veg Platter', 'Crispy Chilli Potatoes']",Delivery,Banashankari
"Next to Bhagwan Mahavir Jain College, V V Puram, Basavanagudi, Bangalore",S M V Snacks Corner,Yes,No,3.7/5,33,+91 9900511499,Basavanagudi,Quick Bites,Fast Food,200,"['Chaat', 'Nutella Waffle', 'Burgers', 'Aloo Paratha', 'Pink Lemonade']",Delivery,Banashankari
"The President Hotel, 79/8, Diagonal Road, 3rd Block, Jayanagar, Bangalore",Andhra Ruchulu,Yes,Yes,4.1/5,666,"+91 9980909192
+91 9900265022",Jayanagar,"Casual Dining, Bar","Andhra, Biryani, North Indian, Chinese","1,000","['Chicken Biryani', 'Mutton Biryani', 'Roti', 'Hyderabadi Biryani', 'Pizza']",Delivery,Banashankari
"G9, Ground Floor, Lucky Paradise: Next to Tayi Jewellers, 22nd Cross Rd, Jayanagar East, Jaya Nagar 1st Block, Jayanagar, Bangalore",The Samosa Co,Yes,No,,0,00 09964558173,Jayanagar,Quick Bites,"Fast Food, Mithai",200,"['Pav Bhaji', 'Hot Coffee', 'Lassi', 'Samosa', 'Mojito']",Delivery,Banashankari
"166/A 2nd Floor, R.V Road, Above DTDC Office, V.V Puram, Near Minerva Circle, Basavanagudi, Bangalore",Steaming Mugs,Yes,No,3.9/5,240,"+91 9341234538
+91 9886414790",Basavanagudi,Cafe,Cafe,700,"['Fries', 'Cappuccino', 'Biryani', 'Soya Chaap', 'Lemon Mojito']",Delivery,Banashankari
"19/49, Near National College, 2nd Main, 31st Cross, 7th Block, Jayanagar, Bangalore",Rajathadri Food Fort,Yes,No,4.0/5,465,"080 26539798
+91 7619201123",Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Street Food",600,"['Paratha', 'Vada', 'Idiyappam', 'Caramel Coffee', 'Wood Fire Pizza']",Delivery,Banashankari
"523, 33rd Cross, Jayanagar, Bangalore",Brew Meister,Yes,Yes,4.1/5,970,080 49652498,Jayanagar,"Microbrewery, Casual Dining","North Indian, Continental, Finger Food, American, Asian","1,500","['Sushi', 'Cocktails', 'Hush Puppies', 'Mocktails', 'Chilli Pork']",Delivery,Banashankari
"86, Shakthi Arcade, 21st Main, 2nd Stage, Near KIMS College and BDA Complex, Banashankari, Bangalore",Rasoi,Yes,No,3.3/5,128,"+91 9738019114
080 66816116",Banashankari,Quick Bites,"North Indian, Chinese",300,"['Hyderabadi Chicken Dum Biryani', 'Butter Chicken', 'Crispy Corn', 'Paneer Mirch Masala', 'Mutton Curry']",Delivery,Banashankari
"Near Dayananda Sagar College, Teachers Colony, Kumaraswamy Layout, Bangalore",Mr. Singh Da Dhaba,Yes,No,3.6/5,241,+91 7406512549,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",300,"['French Fries', 'Kullad Chai', 'Dal Makhani', 'Biryani', 'Sweet Corn Chicken Soup']",Delivery,Banashankari
"406, 2nd Cross, Vidyapeeta Layout, Banashankri, Bangalore",Kababs N Biryani,Yes,No,3.4/5,22,+91 9035022503,Banashankari,Quick Bites,South Indian,200,"['Filter Coffee', 'Coffee', 'Masala Dosa', 'Ghee Masala Dosa', 'Sandwiches']",Delivery,Banashankari
"199/1, Ajanaya Bhavana, 100 Feet Ring Road, Kathriguppe, Banashankari, Bangalore",Ayodhya Upachar,Yes,No,4.3/5,734,"080 26694999
00 09901269901",Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,"['Chicken Biryani', 'Hot Coffee', 'Chicken Sandwich', 'Momos', 'Sandwich']",Delivery,Banashankari
"266/B, 7th Block, Jayanagar, Bangalore",Biriyani Mane,Yes,No,3.8/5,130,080 22444614,Jayanagar,Quick Bites,"North Indian, Biryani",400,"['Chicken Biryani', 'Stuffed Mushroom', 'Chicken Rice', 'Manchow Soup', 'Poha']",Delivery,Banashankari
"Shop 66/1, 4th Block, Near Maiys Hotel, 33rd Cross Road, Jayanagar, Bangalore",Cafe Ajfan,Yes,No,4.2/5,261,"+91 7022022107
+91 9606791771",Jayanagar,Cafe,"Cafe, Continental, Beverages",700,"['Sandwiches', 'Mocktails', 'Friendly Staff', 'Garlic Bread', 'Tempura']",Delivery,Banashankari
"1795, Near Police Station, 13th Main, Kumaraswamy Layout, Bangalore",Brundhavana Food Point,Yes,No,4.0/5,191,+91 9743518909,Kumaraswamy Layout,Quick Bites,"South Indian, North Indian, Chinese, Street Food, Beverages",300,"['Corn Sandwich', 'Faluda', 'Churma', 'Mint Oreo Shake', 'Momos']",Delivery,Banashankari
"42, Vani Vilas Road, Ramakrishna Ashrama Circle, Basavanagudi, Bangalore",SLV Corner Restaurant,Yes,No,4.1/5,364,080 49653234,Basavanagudi,Casual Dining,"South Indian, Chinese, North Indian, Street Food, Rolls, Juices",550,"['Sandwich', 'Cocktails', 'Chicken Curry', 'Petha', 'Paper Plain Dosa']",Delivery,Banashankari
"83/1, 50 Feet Main Road, Goviayanahallo, Kumaraswamy Layout, Bangalore",Biryani Royals Garden,Yes,No,NEW,0,+91 8050732061,Kumaraswamy Layout,Quick Bites,"North Indian, Biryani, Mughlai",500,"['Chicken Momo', 'Breakfast Buffet', 'Gajar Halwa', 'Chicken Dum Biryani', 'Grilled Mushrooms']",Delivery,Banashankari
"89, Behind Venkateshwara Bar, Near PES College, 1st Stage, Banashankari, Bangalore",Hotel New Karavali,Yes,No,3.8/5,133,"+91 9686022651
+91 8971171462",Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",300,"['Coffee', 'Idli', 'Crab Fry', 'Rooftop Ambience', 'Vada']",Delivery,Banashankari
"1, Monotype, 2nd Stage, Banashankari, Bangalore",The Krishna Grand,Yes,No,3.9/5,888,"080 26711192
+91 7022268193",Banashankari,Casual Dining,"North Indian, South Indian, Chinese, Fast Food, Juices",750,"['Kheer', 'Puri Sabzi', 'Naan', 'Paratha', 'Burgers']",Delivery,Banashankari
"17, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",Roti Ghar,Yes,No,3.9/5,750,"080 26629734
+91 9880141967",Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian",500,"['Idli Sambar', 'Pasta', 'Burgers', 'Andhra Meal', 'Tamarind Chicken']",Delivery,Banashankari
"48, 2nd Cross, Jananeshwari Layout, Thindlu, Vidyaranyapura Post, Basavanagudi, Bangalore.",Multi Snacky Hub,No,No,NEW,0,+91 7259722683,Basavanagudi,Quick Bites,Fast Food,200,"['Chilli Cheese', 'Shawarma', 'Sandwiches', 'Paneer Roll', 'Hot Chocolate Fudge']",Delivery,Banashankari
"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",Kettle & Kegs,Yes,No,3.2/5,6,180030025009,Banashankari,Delivery,"Tea, Beverages",200,"['French Fries', 'Hot Chocolate', 'Ginger Chai', 'Bun Maskas', 'Sandwiches']",Delivery,Banashankari
"160, Gandhi Bazar Main Road, Basavanagudi, Bangalore",Baisakhi,Yes,No,3.8/5,527,+91 7204339999,Basavanagudi,Casual Dining,North Indian,500,"['Chicken Burger', 'Potato Wedges', 'Biryani Combo', 'Paneer Tikka Biryani', 'Tea']",Delivery,Banashankari
"43, BDA Complex, 2nd Stage, Banashankari, Bangalore",Poonam Sweets,No,No,4.4/5,356,"080 26714711
+91 9844188316",Banashankari,Sweet Shop,Mithai,150,"['Thali', 'Kaju Barfi', 'Jalebi', 'Vada Pav', 'Luchi']",Desserts,Banashankari
"57/18, 12th Main, Opposite PES College, Banashankari, Bangalore",Amma's Pastries,No,No,3.8/5,60,+91 9590607750,Banashankari,Dessert Parlor,Bakery,400,"['Coffee', 'Fish', 'Sandwiches', 'Cappuccino', 'Brownie Chocolate']",Desserts,Banashankari
"79, 21st Main, 2nd Stage, Banashankari, Bangalore",Polar Bear,Yes,No,3.9/5,116,080 45128775,Banashankari,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400,"['Hot Chocolate Fudge', 'Nutella Pancakes', 'Pancakes', 'Sandwiches', 'Chocolate Milkshake']",Desserts,Banashankari
"70, 21st Main, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Anand Sweets and Savouries,No,No,3.7/5,46,"080 26716111
080 42124151",Banashankari,"Sweet Shop, Quick Bites","Mithai, Street Food",400,"['Pyaz Kachori', 'Chaat', 'Samosa', 'Thali', 'Rasmalai']",Desserts,Banashankari
"Shop 58, 50 Feet Road, Opposite to Kathriguppe Water Tank, 1st Block, 3rd Stage, 1st Block, Banashankari, Bangalore",Ibaco,Yes,No,3.9/5,41,091 9972169534,Banashankari,Dessert Parlor,Desserts,300,"['Pan Cake', 'Chocolate Overload', 'Pie', 'Chocolate Shake', 'Vanilla Ice Cream']",Desserts,Banashankari
"11/2, 50 Feet Road, Muneshwara Block, Near Girinagar, Banashankari, Bangalore",The Lassi and Juice Park,No,No,3.8/5,28,+91 7892197270,Banashankari,"Beverage Shop, Dessert Parlor","Juices, Desserts",150,"['Chocolate Fantasy', 'Mosambi Juice', 'Chocolate Milkshake', 'Cup Cake', 'Pie']",Desserts,Banashankari
"294, 100 Feet Road, Next to Mane Thindi Hotel, Near Deve Gowda Petrol Bunk, 3rd Stage, Banashankri, Bangalore",Corner Stone,No,No,3.6/5,42,+91 9342855551,Banashankari,"Beverage Shop, Quick Bites","Beverages, Juices, Desserts, Italian",300,"['Pasta', 'Sandwiches', 'Chilli Paneer', 'Arabian Grape Juice', 'Biryani']",Desserts,Banashankari
"24th Cross Road, Siddanna Layout, Banashankari Stage II, Banashankari, Bangalore",Arun Ice Cream,No,No,3.4/5,7,+91 9448736143,Banashankari,Dessert Parlor,"Ice Cream, Desserts",150,"['Nitrogen Ice Cream', 'Italian Wonder', 'Strawberry Shake', 'Cheesecake', 'Fruit Salad']",Desserts,Banashankari
"#187/G, 3rd A Cross, 4th Main Road, 80ft Road, Dr Vishnuvardhan Circle Bhuvaneshwari Nagar, BSK 3rd, Stage, 5th Block, Phase 3, Banashankari, Bangalore",Melting Melodies,No,No,NEW,0,"+91 8970474798
+91 8747977555",Banashankari,Bakery,Bakery,300,"['Donut', 'Salted Caramel Brownie', 'Chocolate Cake', 'Ginger Tea', 'Coffee']",Desserts,Banashankari
"18/22, 22nd Main, 80 Feet Road, Hanumanth Nagar, 3rd Stage, Banashankari, Bangalore",Sweet N Swirl,No,No,3.2/5,17,+91 9986693495,Banashankari,Dessert Parlor,"Desserts, Ice Cream",150,"['Waffles', 'Chocolate Nut Sundae', 'Pie', 'Peach Parfait', 'Cup Cake']",Desserts,Banashankari
"Opposite BDA Complex, Siddanna Layout, Stage 2, Banashankari, Bangalore",Mukesh Sweet Centre,No,No,,0,+91 9902147590,Banashankari,Sweet Shop,Mithai,300,"['Pav Bhaji', 'Chole', 'Rasmalai', 'Samosa', 'Chole Bhature']",Desserts,Banashankari
"57, 2nd Main Road, 3rd Cross, KEB Road, Ittamadu, Stage 3, Banashankari, Bangalore",Gopi Ice Creams,No,No,NEW,0,"+91 9844203098
+91 7760539140",Banashankari,Dessert Parlor,Ice Cream,100,"['Paan Ice Cream', 'Friendly Staff', 'Sweet Paan', 'Choco Fudge Brownie', 'Waffles']",Desserts,Banashankari
"115/116, Gandhi Bazar Main Road, Basavanagudi, Bangalore",Sri Venkateshwara Sweet Meat Stall,No,No,4.0/5,98,080 26677131,Basavanagudi,"Sweet Shop, Quick Bites","Mithai, Street Food, North Indian, Chinese",400,"['Gobhi Matar', 'Paneer Parantha', 'Chole', 'Manchurian', 'Chaat']",Desserts,Banashankari
"74, Shankar Market, Vanivillas Road, Basavanagudi, Bangalore",Baskin Robbins,No,No,3.7/5,25,080 41155411,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts",250,"['Belgian Chocolate', 'Chocolate Icecreams', 'Nutella Pancakes', 'Cheesecake', 'Coffee']",Desserts,Banashankari
"125, 1st Floor, Abalashram Building, DV Gundappa Road, Basavanagudi, Bangalore",Srinivasa Brahmins Bakery,No,No,3.6/5,16,080 26600983,Basavanagudi,"Bakery, Quick Bites","Bakery, Street Food",150,"['Cup Cake', 'Melted Chocolate', 'Pancakes', 'Key Lime Pie', 'Chocolate Chocochip']",Desserts,Banashankari
"129, D.R.Complex, DVG Road, Basavanagudi, Bangalore",Jain Bakes,No,No,3.6/5,8,"080 41141515
+91 9886848514",Basavanagudi,Bakery,"Bakery, Desserts",250,"['Plum Cake', 'Chocolate Waffles', 'Cup Cake', 'Skillet Cookie', 'Chocolate Sundae']",Desserts,Banashankari
"20, East Anjenaya Temple Street, Basavanagudi, Bangalore",KC Das - Sweet Spot,No,No,3.6/5,46,+91 9845173245,Basavanagudi,"Sweet Shop, Quick Bites","Mithai, Street Food",200,"['Rasgulla', 'Pav Bhaji', 'Roti', 'Mysore Pak', 'Paratha']",Desserts,Banashankari
"44/1, Bull Temple Road, Near Dodda Ganapati Temple, Basavanagudi, Bangalore",Cake Yard,Yes,No,3.3/5,9,"080 22977700
+91 7899761078",Basavanagudi,Dessert Parlor,Desserts,250,"['Oreo Shake', 'Chocolate Cake', 'Chocolate Decadence', 'Waffles', 'Pizza']",Desserts,Banashankari
"200, Next to Canara Bank, KG Road, Gandhi Bazaar, Basavanagudi, Bangalore",A2B Veg - Adyar Ananda Bhavan,Yes,No,2.7/5,97,"080 26621222
080 41203999",Basavanagudi,Casual Dining,"South Indian, North Indian, Chinese, Street Food",400,"['Pasta', 'Chole Bhature', 'Masala Papad', 'Pav Bhaji', 'Sandwich']",Desserts,Banashankari
"42/12, 3rd Floor, SV Residency, 1st Cross, North Main, Opposite Yediyur Lake, 6th Block, Jayanagar, Bangalore",Cakecraft,No,No,,0,+91 9738477480,Jayanagar,Takeaway,Desserts,350,"['Smoothie Bowl', 'Apple Pie', 'Belgian Chocolate', 'Belgian Chocolate Waffle', 'Hot Chocolate']",Desserts,Banashankari
